lat,lon,age (Ma),ORE_TONNAGE_MT,CU_PERCENT,MO_PERCENT,AU_GT,AG_GT,weight
-23.9901,150.72452, ,982.3,0.19,0.0034, , ,6
56.6664,-131.09442,195.4,102,0.15,0.013,0.72,4.1,4
44.0742,107.8743,333.6, , , , , ,1
41.66666,22.34864,24.28,150,0.3, ,0.35,1,4
46.242,23.127,14.9,335,0.5, ,0.36, ,5
33.13665,-111.09072,57.5, , , , , ,1
40.61176,-117.05173,88,1297,0.058,0.034, , ,6
38.99259,-119.35363, , , , , , ,1
17.43333,120.88333, , , , , , ,1
49.44471,-120.43472,193, , , , , ,1
49.42471,-120.45722,193, , , , , ,1
7.77,125.34, , , , , , ,1
45.9167,104.3,290, , , , , ,1
43.6167,105.9667,290, , , , , ,1
44.9991,121.426,166, , , , , ,1
-22.53,-69.92,137,219,0.36, , , ,4
40.60524,-117.24962,44.95, , , , , ,1
49.1833,99.7,290, , , , , ,1
49.5493,83.828,290, , , , , ,1
29.1614,62.0681,11, , , , , ,1
45.5296,105.8025,285.93, , , , , ,1
0.95194,121.77056,8.75,14.4,0.61, ,0.68, ,2
47.21,93.1166, , , , , , ,1
16.267,120.633, ,21.7,0.2, ,0.3, ,2
44.1826,107.9284,290, , , , , ,1
48.7,102.8167,290, , , , , ,1
48.6208,101.1333, , , , , , ,1
63.478,-142.806, , , , , , ,1
-36.86667,-70.66667,49.95, ,0.044,0.0018,0.35, ,1
39.8,-115.15, , , , , , ,1
44.45,108.3,290, , , , , ,1
29.4327,64.4712,19.5, , , , , ,1
50.51061,-120.93502,206.3, , , , , ,1
41.97417,27.53444,80.5, , , , , ,1
51.50102,118.55069,157.2,23.074,1.135, ,2.6,4.088,2
51.479,118.539, ,288,0.71, ,0.81,3.63,5
19.68125,-96.45305, , , , , , ,1
7.55,126.16667,10, , , , , ,1
-33.46,149.01,441.8,2861.5,0.26, ,0.402,0.573,6
-33.46,149.0,450.7,299,0.162, ,0.425,0.573,5
40.3798,27.1531,53, , , , , ,1
40.53194,8.365,27.5,189,0.069, , ,0.5,4
-25.86836,152.22869,242.5, , , , , ,1
7.31667,-72.86667,144, , , , , ,1
-24.05443,151.25447,220, , , , , ,1
13.7,121.244, , , , , , ,1
12.3,122.05,4.39, , , , , ,1
45.56864,22.29955,72.2, , , , , ,1
13.65,121.233, , , , , , ,1
55.08251,-124.58502,186.9, , , , , ,1
16.32083,120.60417, , , , , , ,1
49.90695,-125.61557, , , , , , ,1
-38.25,-70.58333,61,90.9,0.398, ,0.105, ,3
30.95414,-110.32212,59.3,8623.409,0.417,0.0044, , ,6
-6.08333,-79.28333,16.8,1453.7,0.353, ,0.053,1.559,6
-3.48277,-79.8175,23.51,733.3,0.097,0.002,0.501,0.689,6
14.75,121.992,34.4, , , , , ,1
-23.07463,-69.09467,41.3,1222,0.42,0.014,0.15,0.2,6
-33.35331,149.24953,436.5, , , , , ,1
-30.96603,116.61413,2700,1180,0.24,0.0048, , ,6
39.17056,8.49639,30, , , , , ,1
-33.4287,148.8012,447.5,27,0.2, , , ,3
43.09306,-111.32306,50, , , , , ,1
62.03333,-141.58333,111,16,0.15, , , ,2
33.385,-110.98889, ,5.046,0.448, , , ,2
16.56667,120.633, , , , , , ,1
-30.0,-69.16667,268.5, , , , , ,1
32.89725,-111.88054,64.5,1450,0.588,0.008,0.011,0.33,6
0.74867,-78.33188, ,558,0.58, ,0.52,1.65,5
-28.18678,-69.52465,39.52,1350,0.32,0.0098, , ,6
62.4292,-137.62002,76.4,36.29,0.17,0.018, , ,3
62.7378,-138.82812,74.7,3414.8,0.15,0.0185,0.192,1.513,6
-27.69143,-69.34261,25.38,1477.7,0.191, ,0.492,1.132,6
19.60608,-72.79325,66,8.5,0.976, ,0.353, ,2
33.41328,-110.9634,59.1,1572.9,0.28,0.005, , ,6
49.25641,-125.98082,49,319.311,0.384, , , ,5
45.53611,-70.21694,444,18,0.556,0.06, , ,2
63.3167,-146.5973, , , , , , ,1
31.41667,-104.8833,36.1,26,0.04,0.146, , ,3
49.89333,-74.29222, ,0.249,0.97, ,5.45, ,2
40.749,41.4578,83.25, , , , , ,1
-23.16333,-69.16833,45.4,3553.4,0.383,0.0109,0.118, ,6
-33.64,147.46,451.4, , , , , ,1
43.478,20.485, , , , , , ,1
44.165,22.029,83.25,316, , , , ,5
35.47881,-106.12216, , , , , , ,1
18.25971,-100.44833, , , , , , ,1
9.22988,-79.43005,56.34, , , , , ,1
-32.05,-69.58333, , , , , , ,1
-27.79025,-69.28423,13.89,1197.603,0.219, ,1.521, ,6
8.6603,-82.1023,3.6,37.4,0.931,,0.16,3.136,3
-42.13,-71.35, , , , , , ,1
26.25472,-107.33309,46.3, , , , , ,1
8.5103,-81.7966,4.3,4500,0.45,0.015,0.11, ,6
-17.68167,-69.90083,55,220,1.01,0.015, , ,4
-20.04472,-69.25972,54.7,405,0.573, , , ,5
27.11037,-107.71058,54.7, , , , , ,1
-6.76167,-78.60583,13.35,102.045,0.41, ,0.846, ,4
21.07501,-101.02757,30,627,0.107, ,0.226,10.282,5
18.87856,-70.44695, , , , , , ,1
-31.95,-70.05,13, , , , , ,1
-16.54583,-71.55278,57,70,0.53, , , ,3
-24.97148,-68.0986,28.47,40,0.5, , , ,3
-16.53528,-71.59167,58.9,4686,0.384,0.0118, ,1.473,6
39.2726,39.0418,24.9,445.73,0.38,0.0048,0.11, ,5
40.7773,41.4045,83.25, , , , , ,1
42.6332,110.449,263, , , , , ,1
35.4833,54.8917, , , , , , ,1
31.738,59.012,33.3, , , , , ,1
35.3583,54.1833, , , , , , ,1
33.3833,53.6833, , , , , , ,1
29.5917,56.1833,14, , , , , ,1
31.7582,53.2725,19.62, , , , , ,1
30.3984,55.0158,16.19,149.1,0.41, , , ,4
32.95,54.1833,44.95, , , , , ,1
-6.915,-78.35944,15.58,190,0.28, ,0.77, ,4
38.8167,46.1667,28.59, , , , , ,1
45.8202,111.4317, , , , , , ,1
45.3333,98.2833, , , , , , ,1
22.77407,103.01389,36,5.683,1.5,0.122,6, ,2
44.41918,127.00762,182.1, , , , , ,1
32.08,98.6667,214.97, , , , , ,1
49.4422,116.896, , , , , , ,1
22.77407,103.01389, , , , , , ,1
-14.25,-49.36667,875,783.966,0.263, ,0.229, ,6
-16.77361,-71.35778,50,43.874,1.17, , , ,3
57.61389,139.34722,78.25, , , , , ,1
51.17671,-123.67142, , , , , , ,1
-1.38333,-79.11667,20, , , , , ,1
43.61994,74.26174, ,90.7,0.6, , , ,3
-2.93333,-79.41667,9.71,400,0.4, , , ,5
-14.23333,-75.41667,100, , , , , ,1
30.2328,60.118,33.6,14,1.5, ,0.14,22,2
42.4191,118.507,257.5,178.6,0.14,0.07, , ,4
56.76725,137.0195, , , , , , ,1
29.6813,115.805,142.3,409,0.75,0.047,0.24,9.9,5
-35.35444,-68.38944, ,0.445,0.556, ,2.218,9.507,2
36.2167,46.4333,81.05, , , , , ,1
57.61806,139.45556,78.25, , , , , ,1
38.7333,46.4083,19.62, , , , , ,1
46.47128,-112.17965, , , , , , ,1
